name,last_updated,Biopesticide type,Substance groups,Mode of action,Uses,Target pests,Target host,CAS RN,PubChem CID,Molecular mass,Physical state,url
"(2R,5R)-dihydroxymethyl-(3R,4R)-dihydroxypyrrolidine",23/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2296.htm
(E)-dec-5-enyl acetate,25/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1953.htm
(E)-dodec-8-enyl acetate,25/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1954.htm
(E)-dodec-9-enyl acetate,23/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2116.htm
(E)-tetradec-11-enyl acetate,25/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1957.htm
(E)-tridec-4-enyl acetate,25/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2090.htm
"(E,E)-dodeca-7,9-dienyl acetate",25/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2650.htm
"(E,E)-dodeca-8,10-dienyl-acetate",23/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2120.htm
"(E,E)-octadeca-2,13-dienyl acetate",23/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2654.htm
"(E,E)-tetradeca-9,11-dienyl acetate",23/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2126.htm
"(E,Z)-dodeca-7,9-dienyl acetate",25/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1965.htm
"(E,Z)-octadeca-2,13-dienyl acetate",25/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2100.htm
"(E,Z)-octadeca-3,13-dienyl acetate",25/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2099.htm
"(E,Z)-tetradeca-4,10-dienyl acetate",25/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2093.htm
"(E,Z)-tetradeca-9,12-dienyl acetate",23/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2121.htm
(Z)-11-tetradecenyl acetate,25/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/1959.htm
(Z)-6-heneicosen-11-one,23/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2125.htm
(Z)-dodec-8-enyl acetate,23/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2118.htm
(Z)-dodec-9-enyl acetate,23/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2117.htm
(Z)-hexadec-11-enyl acetate,25/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2106.htm
(Z)-hexadec-13-en-11-ynyl acetate,24/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2874.htm
(Z)-icos-13-en-10-one,25/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2104.htm
(Z)-tetradec-7-enal,25/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2092.htm
(Z)-tetradec-9-enol,25/08/2025,,,,,,,,,,,https://sitem.herts.ac.uk/aeru/bpdb/Reports/2091.htm
